tau,sigma_0.05_mean,sigma_0.20_mean,sigma_0.70_mean,sigma_1.00_mean,sigma_0.05_sem,sigma_0.20_sem,sigma_0.70_sem,sigma_1.00_sem
0,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000
1,0.986015,0.983986,0.985348,0.985111,0.000130,0.000199,0.000355,0.000171
2,0.972236,0.968281,0.970973,0.970471,0.000262,0.000393,0.000690,0.000337
3,0.958625,0.952818,0.956857,0.956089,0.000384,0.000579,0.001014,0.000500
4,0.945226,0.937662,0.943013,0.941974,0.000510,0.000769,0.001328,0.000657
5,0.932032,0.922806,0.929436,0.928135,0.000629,0.000947,0.001630,0.000800
6,0.919029,0.908226,0.916138,0.914555,0.000743,0.001122,0.001918,0.000934
7,0.906231,0.893934,0.903122,0.901247,0.000854,0.001295,0.002197,0.001062
8,0.893619,0.879915,0.890348,0.888176,0.000963,0.001467,0.002471,0.001179
9,0.881191,0.866141,0.877773,0.875305,0.001064,0.001628,0.002740,0.001287
10,0.868921,0.852585,0.865436,0.862659,0.001171,0.001790,0.003001,0.001397
11,0.856818,0.839262,0.853308,0.850216,0.001274,0.001947,0.003258,0.001500
12,0.844868,0.826153,0.841388,0.837979,0.001378,0.002098,0.003505,0.001600
13,0.833116,0.813318,0.829748,0.826013,0.001471,0.002235,0.003735,0.001693
14,0.821519,0.800702,0.818320,0.814257,0.001558,0.002363,0.003954,0.001783
15,0.810122,0.788355,0.807140,0.802729,0.001644,0.002485,0.004174,0.001868
16,0.798887,0.776233,0.796160,0.791402,0.001724,0.002592,0.004383,0.001952
17,0.787800,0.764307,0.785360,0.780252,0.001803,0.002698,0.004598,0.002032
18,0.776898,0.752622,0.774765,0.769304,0.001884,0.002801,0.004806,0.002104
19,0.766160,0.741156,0.764377,0.758545,0.001964,0.002907,0.005008,0.002169
20,0.755552,0.729845,0.754144,0.747946,0.002054,0.003017,0.005205,0.002242
21,0.745095,0.718711,0.744057,0.737489,0.002139,0.003120,0.005403,0.002309
22,0.734780,0.707740,0.734121,0.727177,0.002216,0.003216,0.005591,0.002374
23,0.724626,0.696980,0.724396,0.717066,0.002294,0.003314,0.005770,0.002445
24,0.714607,0.686374,0.714815,0.707112,0.002363,0.003410,0.005952,0.002515
25,0.704723,0.675923,0.705391,0.697341,0.002430,0.003498,0.006130,0.002582
26,0.695004,0.665681,0.696156,0.687737,0.002499,0.003584,0.006305,0.002647
27,0.685422,0.655591,0.687067,0.678271,0.002564,0.003665,0.006477,0.002708
28,0.675992,0.645702,0.678149,0.668958,0.002629,0.003743,0.006648,0.002773
29,0.666669,0.635935,0.669320,0.659739,0.002697,0.003822,0.006813,0.002839
30,0.657490,0.626352,0.660643,0.650683,0.002765,0.003901,0.006979,0.002903
31,0.648441,0.616906,0.652114,0.641798,0.002830,0.003978,0.007141,0.002956
32,0.639514,0.607618,0.643701,0.633030,0.002893,0.004051,0.007298,0.003007
33,0.630693,0.598443,0.635384,0.624379,0.002953,0.004119,0.007455,0.003058
34,0.621993,0.589392,0.627164,0.615845,0.003009,0.004177,0.007605,0.003108
35,0.613409,0.580475,0.619063,0.607409,0.003062,0.004226,0.007747,0.003157
36,0.604965,0.571717,0.611103,0.599118,0.003121,0.004278,0.007873,0.003207
37,0.596642,0.563100,0.603280,0.590969,0.003178,0.004325,0.007996,0.003259
38,0.588461,0.554648,0.595575,0.582941,0.003231,0.004362,0.008114,0.003303
39,0.580406,0.546341,0.587993,0.575038,0.003281,0.004395,0.008229,0.003346
40,0.572453,0.538140,0.580511,0.567243,0.003332,0.004432,0.008331,0.003388
41,0.564622,0.530091,0.573145,0.559551,0.003382,0.004469,0.008432,0.003434
42,0.556872,0.522123,0.565841,0.551926,0.003433,0.004506,0.008527,0.003482
43,0.549223,0.514273,0.558627,0.544403,0.003481,0.004542,0.008623,0.003529
44,0.541668,0.506525,0.551503,0.537008,0.003534,0.004583,0.008725,0.003578
45,0.534228,0.498907,0.544466,0.529701,0.003584,0.004617,0.008825,0.003632
46,0.526884,0.491396,0.537534,0.522518,0.003627,0.004643,0.008921,0.003687
47,0.519657,0.484024,0.530720,0.515460,0.003665,0.004663,0.009013,0.003734
48,0.512531,0.476775,0.524009,0.508517,0.003708,0.004685,0.009100,0.003782
49,0.505532,0.469686,0.517446,0.501720,0.003750,0.004707,0.009185,0.003831
50,0.498589,0.462661,0.510949,0.495001,0.003792,0.004734,0.009270,0.003880
51,0.491766,0.455779,0.504566,0.488396,0.003832,0.004755,0.009346,0.003927
52,0.485053,0.449050,0.498307,0.481895,0.003875,0.004778,0.009424,0.003980
53,0.478425,0.442409,0.492131,0.475505,0.003920,0.004806,0.009504,0.004034
54,0.471910,0.435908,0.486062,0.469217,0.003965,0.004836,0.009581,0.004090
55,0.465487,0.429491,0.480052,0.463021,0.004006,0.004866,0.009663,0.004147
56,0.459188,0.423201,0.474137,0.456933,0.004042,0.004889,0.009750,0.004207
57,0.452962,0.417016,0.468314,0.450935,0.004084,0.004918,0.009840,0.004267
58,0.446787,0.410877,0.462530,0.444984,0.004126,0.004947,0.009931,0.004330
59,0.440708,0.404834,0.456819,0.439122,0.004164,0.004971,0.010022,0.004386
60,0.434741,0.398919,0.451214,0.433387,0.004201,0.004987,0.010111,0.004441
61,0.428887,0.393129,0.445704,0.427721,0.004241,0.005009,0.010196,0.004494
62,0.423136,0.387437,0.440259,0.422132,0.004284,0.005035,0.010284,0.004549
63,0.417473,0.381852,0.434894,0.416630,0.004325,0.005060,0.010373,0.004605
64,0.411864,0.376334,0.429617,0.411211,0.004370,0.005086,0.010464,0.004664
65,0.406323,0.370896,0.424415,0.405873,0.004418,0.005113,0.010547,0.004721
66,0.400836,0.365504,0.419255,0.400585,0.004462,0.005136,0.010627,0.004777
67,0.395414,0.360177,0.414156,0.395342,0.004503,0.005159,0.010708,0.004830
68,0.390079,0.354953,0.409136,0.390171,0.004542,0.005184,0.010783,0.004881
69,0.384808,0.349795,0.404154,0.385049,0.004582,0.005211,0.010854,0.004926
