tau,sigma_0.05_mean,sigma_0.10_mean,sigma_0.15_mean,sigma_0.20_mean,sigma_0.25_mean,sigma_0.30_mean,sigma_0.35_mean,sigma_0.40_mean,sigma_0.45_mean,sigma_0.50_mean,sigma_0.55_mean,sigma_0.60_mean,sigma_0.65_mean,sigma_0.70_mean,sigma_0.75_mean,sigma_0.80_mean,sigma_0.85_mean,sigma_0.90_mean,sigma_0.95_mean,sigma_1.00_mean,sigma_0.05_sem,sigma_0.10_sem,sigma_0.15_sem,sigma_0.20_sem,sigma_0.25_sem,sigma_0.30_sem,sigma_0.35_sem,sigma_0.40_sem,sigma_0.45_sem,sigma_0.50_sem,sigma_0.55_sem,sigma_0.60_sem,sigma_0.65_sem,sigma_0.70_sem,sigma_0.75_sem,sigma_0.80_sem,sigma_0.85_sem,sigma_0.90_sem,sigma_0.95_sem,sigma_1.00_sem
0,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,0.986119,0.985604,0.984868,0.984046,0.983271,0.982650,0.982269,0.982234,0.982175,0.982358,0.983292,0.984235,0.984457,0.984449,0.984679,0.985581,0.986108,0.986377,0.985747,0.985136,0.000189,0.000181,0.000206,0.000258,0.000327,0.000408,0.000509,0.000684,0.000609,0.000533,0.000726,0.000593,0.000562,0.000551,0.000469,0.000449,0.000408,0.000408,0.000376,0.000265
2,0.972473,0.971487,0.970068,0.968477,0.966971,0.965763,0.965018,0.964947,0.964829,0.965187,0.967019,0.968852,0.969290,0.969260,0.969696,0.971452,0.972499,0.973018,0.971757,0.970529,0.000383,0.000368,0.000413,0.000512,0.000645,0.000803,0.001000,0.001344,0.001192,0.001038,0.001423,0.001168,0.001092,0.001069,0.000909,0.000876,0.000800,0.000807,0.000740,0.000520
3,0.959019,0.957582,0.955508,0.953178,0.950972,0.949201,0.948109,0.948005,0.947829,0.948354,0.951063,0.953755,0.954395,0.954337,0.954972,0.957571,0.959118,0.959881,0.958004,0.956170,0.000561,0.000543,0.000617,0.000768,0.000967,0.001201,0.001492,0.001999,0.001773,0.001544,0.002111,0.001728,0.001625,0.001596,0.001357,0.001302,0.001191,0.001194,0.001103,0.000789
4,0.945802,0.943939,0.941242,0.938208,0.935332,0.933020,0.931591,0.931453,0.931216,0.931904,0.935460,0.938962,0.939801,0.939705,0.940519,0.943929,0.945961,0.946968,0.944484,0.942071,0.000725,0.000709,0.000815,0.001021,0.001286,0.001593,0.001976,0.002639,0.002334,0.002025,0.002768,0.002276,0.002118,0.002071,0.001766,0.001695,0.001561,0.001568,0.001446,0.001051
5,0.932765,0.930496,0.927203,0.923494,0.919972,0.917136,0.915381,0.915207,0.914906,0.915741,0.920124,0.924423,0.925455,0.925322,0.926301,0.930511,0.933019,0.934271,0.931181,0.928226,0.000899,0.000882,0.001013,0.001266,0.001592,0.001972,0.002444,0.003265,0.002888,0.002503,0.003427,0.002824,0.002591,0.002524,0.002155,0.002080,0.001925,0.001949,0.001790,0.001310
6,0.919872,0.917233,0.913388,0.909047,0.904921,0.901594,0.899532,0.899325,0.898962,0.899940,0.905121,0.910184,0.911404,0.911224,0.912372,0.917350,0.920324,0.921817,0.918111,0.914608,0.001064,0.001045,0.001207,0.001515,0.001908,0.002363,0.002926,0.003895,0.003449,0.002993,0.004089,0.003385,0.003060,0.002961,0.002535,0.002459,0.002276,0.002323,0.002122,0.001561
7,0.907193,0.904213,0.899854,0.894926,0.890234,0.886448,0.884101,0.883872,0.883452,0.884567,0.890525,0.896320,0.897709,0.897478,0.898784,0.904510,0.907930,0.909655,0.905355,0.901304,0.001225,0.001205,0.001394,0.001752,0.002207,0.002734,0.003385,0.004502,0.003993,0.003469,0.004735,0.003919,0.003541,0.003402,0.002922,0.002846,0.002631,0.002702,0.002457,0.001816
8,0.894654,0.891349,0.886499,0.881005,0.875769,0.871540,0.868916,0.868663,0.868184,0.869430,0.876136,0.882640,0.884201,0.883920,0.885375,0.891841,0.895696,0.897641,0.892775,0.888192,0.001377,0.001363,0.001588,0.002001,0.002523,0.003123,0.003862,0.005122,0.004552,0.003960,0.005388,0.004457,0.004030,0.003847,0.003303,0.003225,0.002967,0.003065,0.002773,0.002046
9,0.882297,0.878677,0.873349,0.867306,0.861540,0.856878,0.853983,0.853704,0.853163,0.854527,0.861966,0.869155,0.870870,0.870545,0.872140,0.879341,0.883632,0.885788,0.880353,0.875232,0.001526,0.001521,0.001781,0.002247,0.002833,0.003505,0.004329,0.005730,0.005105,0.004454,0.006047,0.005004,0.004523,0.004293,0.003694,0.003620,0.003305,0.003428,0.003095,0.002287
