tau,rhoS_sigma0.2,rhoS_sigma0.7,rhoS_sigma1.0
0,1.000000,1.000000,1.000000
1,0.972291,0.983074,0.984019
2,0.945459,0.966548,0.968411
3,0.919311,0.950349,0.953070
4,0.893802,0.934424,0.938005
5,0.868798,0.918699,0.923139
6,0.844466,0.903285,0.908568
7,0.820907,0.888241,0.894307
8,0.798114,0.873599,0.880365
9,0.775955,0.859244,0.866648
10,0.754426,0.845200,0.853219
11,0.733677,0.831532,0.840047
12,0.713655,0.818257,0.827192
13,0.694101,0.805264,0.814622
14,0.675017,0.792481,0.802279
15,0.656632,0.780033,0.790190
16,0.638932,0.767903,0.778313
17,0.621616,0.755945,0.766556
18,0.604732,0.744152,0.754931
19,0.588478,0.732686,0.743561
20,0.572486,0.721357,0.732290
21,0.557002,0.710322,0.721255
22,0.541886,0.699474,0.710343
23,0.527262,0.688840,0.699606
24,0.512871,0.678324,0.688959
25,0.498847,0.667993,0.678529
26,0.485389,0.657967,0.668419
27,0.472366,0.648173,0.658505
28,0.459948,0.638701,0.648856
29,0.447852,0.629340,0.639256
30,0.435964,0.620130,0.629772
31,0.424236,0.611008,0.620379
32,0.412698,0.602036,0.611098
33,0.401474,0.593206,0.602001
34,0.390502,0.584554,0.593043
35,0.379806,0.576058,0.584230
36,0.369417,0.567721,0.575523
37,0.359298,0.559578,0.567052
38,0.349343,0.551527,0.558666
39,0.339865,0.543715,0.550474
40,0.330609,0.536004,0.542439
41,0.321472,0.528323,0.534478
42,0.312503,0.520704,0.526574
43,0.303850,0.513238,0.518843
44,0.295505,0.505935,0.511257
45,0.287335,0.498701,0.503737
46,0.279459,0.491660,0.496400
47,0.271786,0.484730,0.489113
48,0.264253,0.477863,0.481942
49,0.256922,0.471140,0.474893
50,0.249762,0.464513,0.467936
51,0.242807,0.458016,0.461129
52,0.236102,0.451654,0.454424
53,0.229573,0.445396,0.447815
54,0.223272,0.439250,0.441291
55,0.217189,0.433243,0.434932
56,0.211164,0.427332,0.428688
57,0.205407,0.421553,0.422578
58,0.199874,0.415872,0.416530
59,0.194564,0.410333,0.410629
60,0.189312,0.404839,0.404859
61,0.184193,0.399448,0.399159
62,0.179173,0.394128,0.393566
63,0.174289,0.388831,0.387987
64,0.169635,0.383647,0.382471
65,0.165109,0.378518,0.377053
66,0.160753,0.373503,0.371781
67,0.156520,0.368600,0.366611
68,0.152442,0.363808,0.361570
69,0.148377,0.359041,0.356601
70,0.144512,0.354395,0.351693
71,0.140802,0.349849,0.346892
72,0.137229,0.345389,0.342188
73,0.133616,0.340945,0.337512
74,0.130161,0.336604,0.332936
75,0.126816,0.332336,0.328426
76,0.123430,0.328076,0.323938
77,0.120082,0.323829,0.319537
78,0.116760,0.319622,0.315173
79,0.113416,0.315419,0.310789
80,0.110255,0.311366,0.306520
81,0.107187,0.307337,0.302276
82,0.104119,0.303307,0.298083
83,0.101221,0.299385,0.293921
84,0.098597,0.295637,0.289884
85,0.095908,0.291866,0.285826
86,0.093431,0.288240,0.281809
87,0.091010,0.284643,0.277800
88,0.088611,0.281076,0.273829
89,0.086406,0.277605,0.269906
90,0.084151,0.274109,0.266030
91,0.081877,0.270651,0.262204
92,0.079666,0.267259,0.258441
93,0.077666,0.264001,0.254826
94,0.075625,0.260723,0.251201
95,0.073585,0.257442,0.247572
96,0.071586,0.254210,0.243978
97,0.069576,0.251004,0.240395
98,0.067581,0.247798,0.236820
99,0.065713,0.244703,0.233353
100,0.063882,0.241656,0.229879
